Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
78, 1, 4, 7, 7, 5, 3, 4.17933, 0.0676215, , 1, 1.12106, 0.264072, 0.143141, , 1, 1.11883, 0.263549, 0.142857, , 
79, 1, 4, 7, 8, 5, 3, 4.21739, 0.0819726, , 1, 1.1762, 0.257888, 0.144235, , 1, 1.16496, 0.255426, 0.142857, , 
80, 1, 4, 7, 9, 5, 3, 4.25531, 0.0962722, , 1, 1.22851, 0.252562, 0.145223, , 1, 1.21604, 0.25, 0.14375, , 
81, 1, 4, 8, 6, 5, 0.5, 4.16554, 0.0624192, , 1, 0.933109, 0.159578, 0.199264, , 1, 0.957469, 0.159578, 0.199264, , 
82, 1, 4, 8, 6, 6, 3, 4.10314, 0.0388918, , 1, 1.06512, 0.258905, 0.1253, , 1, 1.06258, 0.258286, 0.125, , 
83, 1, 4, 8, 7, 5, 3, 4.17816, 0.0671798, , 1, 1.08613, 0.254304, 0.134352, , 1, 1.06775, 0.25, 0.132079, , 
84, 1, 4, 8, 7, 5, 4, 4.26098, 0.0984071, , 1, 1.10859, 0.282184, 0.127957, , 1, 1.08297, 0.275664, 0.125, , 
85, 1, 4, 8, 7, 6, 3, 4.1365, 0.0514697, , 1, 1.12137, 0.251455, 0.126164, , 1, 1.11488, 0.25, 0.125434, , 
86, 1, 4, 8, 8, 5, 3, 4.21622, 0.0815315, , 1, 1.13924, 0.24835, 0.135448, , 1, 1.13924, 0.24835, 0.135448, , 
87, 1, 4, 9, 6, 5, 0.5, 4.19656, 0.0741186, , 1, 0.895026, 0.154158, 0.187211, , 1, 0.92495, 0.154158, 0.187211, , 
88, 1, 4, 9, 6, 6, 3, 4.10314, 0.0388918, , 1, 1.03562, 0.250599, 0.118347, , 1, 1.03314, 0.25, 0.118064, , 
89, 1, 4, 9, 6, 6, 4, 4.1664, 0.0627469, , 1, 1.05172, 0.276112, 0.112249, , 1, 1.04106, 0.273313, 0.111111, , 
90, 1, 4, 9, 7, 5, 4, 4.25938, 0.0978069, , 1, 1.07825, 0.272659, 0.121166, , 1, 1, 0.252871, 0.112372, , 
91, 1, 4, 9, 7, 5, 0.5, 4.19752, 0.0744795, , 1, 0.929156, 0.148771, 0.18592, , 1, 0.929601, 0.148771, 0.18592, , 
92, 1, 4, 9, 7, 6, 4, 4.20655, 0.0778833, , 1, 1.1109, 0.268862, 0.113355, , 1, 1.08892, 0.263541, 0.111111, , 
93, 1, 4, 9, 8, 6, 4, 4.24691, 0.0931042, , 1, 1.16673, 0.262776, 0.114342, , 1, 1.13376, 0.25535, 0.111111, , 
94, 1, 4, 0.5, 6, 0.333333, 0.166667, 4.10314, 0.0388918, , 1, 1.03562, 0.250599, 2.13025, , 1, 1.03314, 0.25, 2.12515, , 
95, 1, 4, 0.5, 7, 0.25, 0.2, 4.26098, 0.0984071, , 1, 1.05064, 0.264191, 2.30714, , 1, 1, 0.251456, 2.19593, , 
96, 1, 4, 0.333333, 6, 0.2, 0.125, 4.15021, 0.0566395, , 1, 1.02217, 0.262005, 3.24006, , 1, 1, 0.256323, 3.1698, , 
97, 1, 4, 0.333333, 6, 0.2, 0.111111, 4.12523, 0.0472218, , 1, 1.01511, 0.251776, 3.30905, , 1, 1.00795, 0.25, 3.28571, , 
98, 1, 4, 0.333333, 7, 0.2, 0.125, 4.18878, 0.0711836, , 1, 1.07847, 0.254956, 3.27146, , 1, 1.0575, 0.25, 3.20787, , 
99, 1, 4, 0.333333, 7, 0.166667, 0.125, 4.24212, 0.0912956, , 1, 1.04507, 0.257941, 3.49585, , 1, 1.01289, 0.25, 3.38822, , 
100, 1, 5, 7, 7, 5, 2, 4.08988, 0.033893, , 1, 1.02968, 0.20709, 0.146393, , 1, 1.00481, 0.202088, 0.142857, , 
101, 1, 5, 7, 8, 5, 2, 4.11589, 0.0436977, , 1, 1.07557, 0.201871, 0.14728, , 1, 1.06561, 0.2, 0.145915, , 
102, 1, 5, 8, 8, 5, 3, 4.21437, 0.080835, , 1, 1.06775, 0.223692, 0.128521, , 1, 1.0385, 0.217564, 0.125, , 
103, 1, 5, 8, 9, 5, 3, 4.24891, 0.0938556, , 1, 1.11501, 0.219384, 0.129622, , 1, 1.07525, 0.211561, 0.125, , 
104, 1, 5, 9, 8, 6, 3, 4.16554, 0.0624192, , 1, 1.07169, 0.213549, 0.114012, , 1, 1.04442, 0.208116, 0.111111, , 
105, 1, 5, 9, 9, 5, 3, 4.24829, 0.0936237, , 1, 1.08406, 0.211978, 0.122705, , 1, 1.0228, 0.2, 0.115772, , 
106, 1, 5, 9, 9, 6, 3, 4.19656, 0.0741186, , 1, 1.11729, 0.209169, 0.114826, , 1, 1.08114, 0.202402, 0.111111, , 
107, 1, 5, 0.5, 7, 0.333333, 0.142857, 4.10272, 0.0387312, , 1, 1.01613, 0.20774, 2.09577, , 1, 1, 0.204442, 2.0625, , 
108, 1, 5, 0.5, 8, 0.333333, 0.142857, 4.13006, 0.049041, , 1, 1.06202, 0.202609, 2.10997, , 1, 1.04835, 0.2, 2.0828, , 
109, 1, 5, 0.5, 9, 0.25, 0.142857, 4.23708, 0.0893964, , 1, 1.05159, 0.201744, 2.35353, , 1, 1.0425, 0.2, 2.33318, , 
110, 1, 6, 8, 8, 6, 2, 4.08201, 0.0309233, , 1, 1.02543, 0.176558, 0.124654, , 1, 1.02543, 0.176558, 0.124654, , 
111, 1, 6, 8, 9, 6, 2, 4.10314, 0.0388918, , 1, 1.06512, 0.172603, 0.1253, , 1, 1.06258, 0.172191, 0.125, , 
112, 1, 6, 9, 8, 7, 2, 4.05764, 0.0217337, , 1, 1.02847, 0.169929, 0.112178, , 1, 1.01869, 0.168313, 0.111111, , 
113, 1, 6, 9, 9, 6, 2, 4.10314, 0.0388918, , 1, 1.03562, 0.167066, 0.118347, , 1, 1.03314, 0.166667, 0.118064, , 
114, 1, 6, 9, 9, 6, 3, 4.19903, 0.0750486, , 1, 1.05861, 0.191913, 0.109882, , 1, 1.05861, 0.191913, 0.109882, , 
115, 1, 6, 0.5, 9, 0.333333, 0.111111, 4.10314, 0.0388918, , 1, 1.03562, 0.167066, 2.13025, , 1, 1.03314, 0.166667, 2.12515, , 
116, 1, 0.5, 0.166667, 0.166667, 0.125, 0.5, 4.10314, 0.0388918, , 1, 0.705831, 2.9169, 5.63315, , 1, 0.705831, 2.9169, 5.64665, , 
117, 1, 0.5, 0.166667, 0.142857, 0.111111, 0.5, 4.13419, 0.0505985, , 1, 0.660936, 3.03102, 5.74645, , 1, 0.660936, 3.03102, 5.94842, , 
118, 1, 0.5, 0.166667, 0.125, 0.111111, 0.5, 4.1664, 0.0627469, , 1, 0.640374, 3.15041, 5.70495, , 1, 0.640374, 3.15041, 5.76337, , 
119, 1, 0.5, 0.166667, 0.111111, 0.111111, 0.5, 4.19903, 0.0750486, , 1, 0.622794, 3.2632, 5.66782, , 1, 0.622794, 3.2632, 5.66782, , 
